61. [katedra=KFY, predmet=FYA1, semestr=ZS, typ=Pr]
62. [katedra=KFY, predmet=FYA1, semestr=ZS, typ=Pr]
63. [katedra=KFY, predmet=FYA1, semestr=ZS, typ=Pr]
64. [katedra=KFY, predmet=FYA1, semestr=ZS, typ=Pr]
65. [katedra=KFY, predmet=FYA1, semestr=ZS, typ=Cv]
66. [katedra=KFY, predmet=FYA1, semestr=LS, typ=Pr]
67. [katedra=KFY, predmet=FYA1, semestr=LS, typ=Pr]
68. [katedra=KFY, predmet=FYA1, semestr=LS, typ=Cv]
69. [katedra=KFY, predmet=FYA1, semestr=LS, typ=Cv]
70. [katedra=KFY, predmet=FYA1, semestr=LS, typ=Cv]
71. [katedra=KFY, predmet=FYA1, semestr=LS, typ=Cv]
72. [katedra=KFY, predmet=FYA1, semestr=LS, typ=Cv]
73. [katedra=KFY, predmet=FYA1, semestr=LS, typ=Cv]
74. [katedra=KFY, predmet=FYA1, semestr=LS, typ=Cv]
75. [katedra=KFY, predmet=FYA1, semestr=LS, typ=Cv]
76. [katedra=KFY, predmet=FYA1, semestr=LS, typ=Cv]
77. [katedra=KFY, predmet=FYA1, semestr=LS, typ=Cv]
78. [katedra=KFY, predmet=FYA1, semestr=LS, typ=Cv]
79. [katedra=KFY, predmet=FYA1, semestr=LS, typ=Cv]
80. [katedra=KFY, predmet=FYA1, semestr=LS, typ=Cv]
81. [katedra=KFY, predmet=FYA1, semestr=LS, typ=Cv]
82. [katedra=KFY, predmet=FYA1, semestr=LS, typ=Cv]
83. [katedra=KFY, predmet=FYA2, semestr=ZS, typ=Pr]
84. [katedra=KFY, predmet=FYA2, semestr=ZS, typ=Cv]
85. [katedra=KFY, predmet=FYA2, semestr=ZS, typ=Cv]
86. [katedra=KFY, predmet=FYA2, semestr=ZS, typ=Cv]
87. [katedra=KFY, predmet=FYA2, semestr=ZS, typ=Cv]
88. [katedra=KFY, predmet=FYA2, semestr=ZS, typ=Cv]
89. [katedra=KFY, predmet=FYA2, semestr=ZS, typ=Cv]
90. [katedra=KFY, predmet=FYA2, semestr=ZS, typ=Cv]
91. [katedra=KFY, predmet=FYA2, semestr=ZS, typ=Cv]
92. [katedra=KFY, predmet=FYA2, semestr=ZS, typ=Cv]
93. [katedra=KFY, predmet=FYA2, semestr=ZS, typ=Cv]
94. [katedra=KFY, predmet=FYA2, semestr=ZS, typ=Cv]
95. [katedra=KFY, predmet=FYA2, semestr=ZS, typ=Cv]
96. [katedra=KFY, predmet=FYA2, semestr=LS, typ=Pr]
